hud_area_code,hud_area_name,zcta,total_units,fmr_afford_units,safmr_afford_units,fmr_afford_pct,safmr_afford_pct,diff_afford_units,diff_afford_pct
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30021,5133,3178,2318,0.6191311124098967,0.4515877654393142,-860,-27.061044682190055
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30022,5455,555,1400,0.10174152153987168,0.2566452795600367,845,152.25225225225225
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30024,1820,282.5,1112.5,0.15521978021978022,0.6112637362637363,830,293.8053097345133
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30025,560,422.5,322.5,0.7544642857142857,0.5758928571428571,-100,-23.668639053254438
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30028,744,389,504,0.5228494623655914,0.6774193548387096,115,29.562982005141386
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30030,3500,1055,1695,0.30142857142857143,0.48428571428571426,640,60.66350710900474
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30032,7285,4785,3597.5,0.6568291008922443,0.4938229238160604,-1187.5,-24.817136886102404
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30033,5065,920,2260,0.18163869693978282,0.4461994076999013,1340,145.65217391304347
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30034,4512,2539.5,2154.5,0.5628324468085106,0.47750443262411346,-385,-15.160464658397322
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30035,2696,1453.5,1453.5,0.5391320474777448,0.5391320474777448,0,0
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30038,5325,1912.5,1582.5,0.3591549295774648,0.2971830985915493,-330,-17.254901960784313
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30039,1604,481.5,1044,0.3001870324189526,0.6508728179551122,562.5,116.82242990654206
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30040,2110,787.5,1290,0.3732227488151659,0.6113744075829384,502.5,63.8095238095238
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30041,2132,674.5,1139.5,0.31636960600375236,0.5344746716697936,465,68.93995552260934
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30043,5655,1162.5,2582.5,0.20557029177718833,0.4566755083996463,1420,122.1505376344086
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30044,8794,2621.5,4281.5,0.2981009779395042,0.48686604503070274,1660,63.322525271790965
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30045,689,175,475,0.2539912917271408,0.6894049346879536,300,171.42857142857142
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30046,4145,2270,1610,0.5476477683956574,0.3884197828709288,-660,-29.074889867841406
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30047,3352,1394.5,1634.5,0.4160202863961814,0.4876193317422434,240,17.210469702402296
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30052,2620,1272.5,1795,0.4856870229007634,0.6851145038167938,522.5,41.06090373280943
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30054,626,463,368,0.7396166134185304,0.5878594249201278,-95,-20.518358531317496
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30055,106,57.5,89,0.5424528301886793,0.839622641509434,31.5,54.78260869565217
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30056,102,98,94,0.9607843137254902,0.9215686274509803,-4,-4.081632653061225
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30058,5836,2221,2736,0.3805688827964359,0.4688142563399589,515,23.187753264295363
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30060,5889,3464,2759,0.5882153166921379,0.4685005943284089,-705,-20.352193995381064
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30062,3869,931.5,1476.5,0.2407598862755234,0.38162315843887307,545,58.50778314546431
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30064,2210,890,1247.5,0.40271493212669685,0.5644796380090498,357.5,40.168539325842694
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30066,3225,660,1697.5,0.20465116279069767,0.5263565891472868,1037.5,157.1969696969697
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30067,10885,3545,5075,0.3256775378961874,0.4662379421221865,1530,43.15937940761636
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30068,1619,324,564,0.20012353304508956,0.3483631871525633,240,74.07407407407408
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30070,99,85,77,0.8585858585858586,0.7777777777777778,-8,-9.411764705882353
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30071,3326,1618,940.5,0.4864702345159351,0.2827720986169573,-677.5,-41.872682323856615
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30072,84,40.5,28,0.48214285714285715,0.3333333333333333,-12.5,-30.864197530864196
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30075,3005,860,1300,0.28618968386023297,0.43261231281198004,440,51.162790697674424
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30076,5745,1117.5,2342.5,0.19451697127937337,0.40774586597040907,1225,109.61968680089484
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30078,1814,689,1299,0.37982359426681367,0.7160970231532525,610,88.53410740203192
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30079,409,275,235,0.6723716381418093,0.5745721271393643,-40,-14.545454545454545
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30080,13429,3621.5,5979,0.26967756348201655,0.4452304713679351,2357.5,65.09733535827695
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30082,3035,905,905,0.2981878088962109,0.2981878088962109,0,0
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30083,7874,4895,3675,0.6216662433324867,0.4667259334518669,-1220,-24.923391215526046
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30084,3864,1496.5,924,0.3872929606625259,0.2391304347826087,-572.5,-38.25593050451053
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30087,1109,460,870,0.4147880973850316,0.7844905320108205,410,89.13043478260869
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30088,3117,1409.5,1409.5,0.45219762592236123,0.45219762592236123,0,0
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30092,6139,2221.5,3389,0.3618667535429223,0.552044306890373,1167.5,52.55458023857754
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30093,11426,4902,6084.5,0.42902152984421493,0.5325135655522493,1182.5,24.12280701754386
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30094,1545,657.5,700,0.4255663430420712,0.45307443365695793,42.5,6.4638783269961975
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30096,13018,2844,6181.5,0.21846673836226763,0.47484252573359964,3337.5,117.35232067510549
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30097,3350,260,1175,0.07761194029850746,0.35074626865671643,915,351.9230769230769
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30101,3027,1095.5,1268,0.3619094813346548,0.4188965972910472,172.5,15.746234596074851
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30102,2430,1375,1375,0.565843621399177,0.565843621399177,0,0
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30103,1419,1279,1041.5,0.9013389711064129,0.7339675828047921,-237.5,-18.569194683346364
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30104,187,162,134,0.8663101604278075,0.7165775401069518,-28,-17.28395061728395
METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",30106,2849,1306.5,904,0.4585819585819586,0.3173043173043173,-402.5,-30.807500956754687
